country,year,primary_energy_consumption,gdp,population
Qatar,0.35772357723577236,0.0011153963364018114,3.3668997568087804e-4,2.5496843353010757e-6
Africa,0.06504065040650407,0.0011153963364018114,3.3668997568087804e-4,0.017739864358272486
Kuwait,0.6504065040650406,0.001101254360757319,2.2163018136158125e-4,1.8545575794869763e-4
Malawi,0.8861788617886179,1.0220436993809074e-4,1.2555912831970943e-4,0.0017770731784219932
Barbados,0.17886178861788618,0.0011153963364018114,3.3668997568087804e-4,1.96628851820123e-5
Uruguay,0.9512195121951219,8.489084828509101e-4,5.112583763668689e-4,4.2513863936539806e-4
Upper-middle-income countries,0.13821138211382114,0.0011153963364018114,3.3668997568087804e-4,0.0843376858190053
Thailand,0.6178861788617886,0.0015114756395626279,0.001106430582173386,0.0052055541422165435
Eastern Africa (EI),0.8943089430894309,0.005735506989876913,3.3668997568087804e-4,8.695984741435039e-4
Turkey,0.2926829268292683,0.0011153963364018114,2.558660892211311e-4,0.0020341412203853824
Bhutan,0.959349593495935,2.2920918981155945e-4,3.3668997568087804e-4,9.449866227678467e-5
Bolivia,0.2764227642276423,0.0011153963364018114,3.927991829229433e-5,3.443677271362901e-4
Ukraine,0.6422764227642277,0.0011153963364018114,3.3668997568087804e-4,0.006182223572847675
Cote d'Ivoire,0.959349593495935,7.409459371678651e-4,7.417486219659555e-4,0.003168573752056533
Cook Islands,0.8943089430894309,4.653333897728155e-6,3.3668997568087804e-4,1.914655949933104e-6
Liberia,0.7235772357723578,6.488671178061158e-5,5.657500869196829e-5,3.1145737174239317e-4
Persian Gulf (EIA),0.9024390243902439,0.10941166924800579,3.3668997568087804e-4,8.695984741435039e-4
Middle East (EI),0.9186991869918699,0.11794947110290786,3.3668997568087804e-4,8.695984741435039e-4
Cayman Islands,0.926829268292683,3.17284582244537e-5,3.3668997568087804e-4,7.1777224838215375e-6
Italy,0.36585365853658536,0.0011153963364018114,9.91045821043616e-4,0.005593313984134027
Suriname,0.17073170731707318,0.0011153963364018114,3.3668997568087804e-4,1.5604992894459323e-5
