country,model,RMSE,MAPE
Eritrea,ARIMA,0.7323496445472127,21.42164931708862
Eritrea,Exponential Smoothing,1.0185489773292686,29.13085623065612
Eritrea,Gradient Boosting (XGB substitute),0.4296051121125676,11.124856957917526
Eritrea,Random Forest,0.30145238362400284,8.39180071680709
Estonia,ARIMA,8.594510783102033,12.269998625418085
Estonia,Exponential Smoothing,7.435668601464219,7.4055667954300715
Estonia,Gradient Boosting (XGB substitute),6.6145132302288845,9.344769179841292
Estonia,Random Forest,6.687636680842903,9.444279446530999
Eswatini,ARIMA,0.7153981876159254,8.703379948482622
Eswatini,Exponential Smoothing,0.3196722741652884,4.372019408374527
Eswatini,Gradient Boosting (XGB substitute),0.5618064654040799,7.888169949387487
Eswatini,Random Forest,0.5798151012570129,7.999334991308543
Ethiopia,ARIMA,19.620252438485927,20.006792928195566
Ethiopia,Exponential Smoothing,15.844297777228952,16.436002162001255
Ethiopia,Gradient Boosting (XGB substitute),36.94641178698367,37.106927023600385
Ethiopia,Random Forest,39.6098052924733,40.56489678437962
Eurasia (EIA),ARIMA,1554.0998476499717,11.23384598542642
Eurasia (EIA),Exponential Smoothing,2039.3953556893784,14.452904927770666
Eurasia (EIA),Gradient Boosting (XGB substitute),1083.7356930586616,6.632329410077749
Eurasia (EIA),Random Forest,735.0632957727604,4.568593909890621
Europe,ARIMA,2129.771337552485,6.287787507509833
Europe,Exponential Smoothing,805.8748223437717,2.0809475381769014
Europe,Gradient Boosting (XGB substitute),1370.0727548337788,3.928737428935004
Europe,Random Forest,1255.939749074765,3.611057565962178
Europe (EI),ARIMA,1338.0508563858878,4.6689371708465055
Europe (EI),Exponential Smoothing,1413.061309309048,4.985529598912616
Europe (EI),Gradient Boosting (XGB substitute),963.6772969172569,3.2372234535679905
Europe (EI),Random Forest,885.5251807262467,2.894445834942876
Europe (EIA),ARIMA,839.2737043214811,2.574355281458046
Europe (EIA),Exponential Smoothing,630.6232020402385,2.1322358738034843
Europe (EIA),Gradient Boosting (XGB substitute),1191.9950043002584,3.351750949419558
Europe (EIA),Random Forest,961.488840545043,2.7232502744240223
European Union (27),ARIMA,682.9726885219062,3.116834760007292
European Union (27),Exponential Smoothing,474.9606529276871,2.2610929762195187
European Union (27),Gradient Boosting (XGB substitute),674.3012775361971,3.263034121866791
European Union (27),Random Forest,603.6115481981487,2.9066399070997377
Falkland Islands,ARIMA,0.010973797455206455,4.801883869172296
Falkland Islands,Exponential Smoothing,0.03201387219763478,13.870345359235733
Falkland Islands,Gradient Boosting (XGB substitute),0.010431897845792428,4.141500306803256
Falkland Islands,Random Forest,0.010420346490767854,4.112721415159812
Faroe Islands,ARIMA,0.5105366904382085,11.725344732793904
Faroe Islands,Exponential Smoothing,0.18277163361051202,4.483350973525833
Faroe Islands,Gradient Boosting (XGB substitute),0.4306880670461184,10.333345589542029
Faroe Islands,Random Forest,0.35429094568074165,8.922665818454055
Fiji,ARIMA,1.2053360883883262,12.741172507698609
Fiji,Exponential Smoothing,0.8934714278984591,9.351104215382223
