Data Source,World Development Indicators,...3
Europe & Central Asia,ECS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3747.19261309341,3712.85688452214,3493.82556753697,3370.63641705175,3184.18435128024,3200.55163409281,3238.02101393287,3173.61365843076,3165.81430525191,3160.97342571182,3183.30373358062,3229.98253379617,3232.70925972198,3316.75739025596,3345.90311453701,3346.21642475296,3389.94386755779,3364.84686089476,3370.77412336442,3149.05299367692,3299.69715789452,3271.22112694407,3266.07653582917,3213.83796289009,3152.71273737606,"","","","","","","","","","
Ecuador,ECU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",352.824708693241,355.059569302289,349.85978200345,411.838828613935,441.394803302103,477.380686996374,556.55769057287,557.72645549146,573.060016462719,611.846467929899,619.66648026508,649.731434215841,586.775374962516,612.080819131523,603.084966696931,585.77018348422,585.518478335339,599.011788059465,559.79377557887,604.375179557353,621.659294474687,616.299278471396,563.046864367865,591.01209731066,679.060997639967,701.880289053802,715.321016892266,721.799705236653,638.013133886011,694.741893227992,724.591076886375,694.865049756166,692.867782116263,657.516687301749,674.376070829153,665.837127313384,740.520350207237,670.661991511335,785.34332428119,780.641579603487,813.191792082944,790.134004238581,838.657534752676,884.347635852395,"","","","","","","","","","
"Egypt, Arab Rep.",EGY,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",220.111619081765,237.224204050446,215.838303028219,236.208603040948,251.882614389327,286.606065094151,305.614634221759,307.355607617948,329.814117350981,343.454201442885,389.609956970998,415.091761564714,447.299777874049,481.274641181592,505.676144311355,504.797898414358,523.154533438498,521.016782712794,540.638668841026,552.273403915275,537.556224702538,538.577708827459,545.741656996449,513.83763474579,535.059879253566,556.252108072728,567.445501166564,594.882934738533,594.751518554968,555.363029389867,610.580912676868,616.735181564293,626.968201885931,663.862084742711,758.019370512355,785.453161576492,825.604457247581,841.757486878585,845.166403517301,813.306139759159,835.7623383797,840.081387704282,786.950151747727,767.222164267744,"","","","","","","","","","
Euro area,EMU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1399.55755980925,1451.59965343318,1564.9128800674,1684.68536505377,1761.50051801939,1816.54003134276,1865.42128704114,1942.03962685073,2093.8611682544,2263.13540859302,2746.04418551874,2781.37503227281,2919.1348750679,3106.60592562362,3063.78805318758,2931.07602885612,3141.10971349838,3105.38220665091,3224.34827961751,3353.71686865367,3290.70226329487,3180.34453127436,3071.80704150852,3095.00257414005,3199.9852825429,3297.42002228087,3328.91019204528,3399.29737468889,3426.18739708247,3488.44519578611,3488.05963732638,3528.78051778861,3441.44113257047,3406.04606592,3389.08765369032,3498.18314596318,3605.42711961947,3593.94189611692,3648.89559626447,3636.92321683233,3672.09140551192,3758.00920578695,3742.68961735317,3802.6342151857,3836.74437498755,3826.97755125693,3819.15585200049,3738.94382066593,3712.19598160363,3495.0286250821,3608.66997457158,3469.19580457405,3427.54924196697,3387.15782878791,3249.18357130987,3329.02561338569,"","","","","","","","","
Eritrea,ERI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",487.743141340532,496.261865532762,496.409715164989,492.628379369239,492.036510835983,483.553773346003,310.279813191868,317.011632426179,315.033926990771,320.805214700709,312.758412321384,321.377375142498,286.177338581926,286.319594621254,256.761785269624,261.336851337588,239.478583275309,249.941739369816,251.530124073658,253.328931110211,257.603915458342,259.432857570356,263.102902487195,"","","","","","","","","","
Spain,ESP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,530.664849778361,557.599290808982,605.223527324533,623.51818410219,683.685554155998,714.721577933881,790.791704191351,881.383248579144,993.664568264665,1049.79116387899,1123.10299379873,1244.90322573105,1295.60967977864,1473.95233128908,1580.12601865219,1607.74131031185,1707.88618857168,1661.1790739161,1757.39626351333,1768.79417864325,1805.59073050944,1820.1041240081,1760.39990720795,1781.47220997851,1813.42444334732,1843.19325392014,1875.77818563167,1916.76754819688,2065.72244458094,2269.01332767965,2317.47677393364,2397.71417285508,2430.37452290655,2318.98298890925,2436.01236214986,2537.0726801522,2489.34042171929,2634.64912802979,2756.21890670951,2877.98241384113,3003.76167204662,3060.88180946621,3107.86734112195,3157.22726404851,3238.50244729409,3251.39713269293,3194.08124621219,3180.03341956317,3026.33840815008,2757.69141158545,2742.87718222191,2689.68433721315,2683.36793480776,2512.10591924568,2464.6412905848,2571.34096211178,"","","","","","","","","
Estonia,EST,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6232.73199785365,5841.39064915834,4283.1586644237,3639.26919246544,3752.3873275743,3624.43113555714,4043.28995460563,4010.91576845166,3695.1706734307,3462.76696752513,3374.70838985386,3541.51205051455,3415.78062130714,3798.03825726625,3893.39547172581,3846.3929434777,3775.03508289959,4243.64799952263,4105.41773553014,3648.97884250083,4222.7371899585,4237.72919132254,4174.38776559391,4623.27911216793,4592.61645664469,4173.32658257102,"","","","","","","","","
Ethiopia,ETH,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",486.389630863606,486.133159632292,487.871710558483,487.617950069439,484.502219381544,480.710151323438,477.886574452068,477.296272028427,478.018643958296,484.961912675058,485.043626203164,478.409178532962,480.03004280485,481.469507654975,483.140562544137,485.89631922447,487.586598778206,484.021895400596,482.011582903023,481.70031540805,477.096436528865,468.586021372766,471.324496348286,472.86745038455,473.962341147709,474.201151601203,472.394459308619,471.818028934123,470.133298485936,470.07001506301,473.18365210841,472.625722796138,473.148191878166,472.923256408759,470.451208900836,470.66229725629,471.404374153169,471.81024549941,471.391675604149,471.109123792334,473.368461632355,473.507879281995,476.881883639503,478.395323926741,"","","","","","","","","","
European Union,EUU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1483.67487338568,1537.6488796524,1651.16780892968,1762.76005392747,1839.86682599774,1885.35670595408,1940.45358795079,2010.60099462865,2157.83542743453,2331.0294972419,2760.31018390041,2786.46248189539,2904.12290418712,3070.42078733219,3031.06245979919,2968.21074479601,3165.84633932525,3168.871293406,3291.09989544434,3406.97072523016,3347.7907460201,3234.45973660715,3168.56219314859,3180.52598631937,3256.50128821098,3360.08033052595,3405.21409362844,3473.20787551893,3487.81405171886,3496.28789222334,3421.98683631269,3401.3679680715,3301.46332548271,3280.31449118173,3252.46679892922,3359.85076841806,3466.84523592541,3436.89803829609,3449.65447488153,3409.69756473389,3428.57695799947,3515.30337906603,3512.69366352057,3576.40017960491,3607.60237389577,3605.7862236712,3618.47611453249,3554.83553423628,3533.75934314513,3321.26026587114,3447.91501602822,3335.44295586804,3288.0907994508,3242.51088582318,3123.50613536318,3278.35207782641,"","","","","","","","","
Fragile and conflict affected situations,FCS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",535.081329501553,529.58452975143,543.269890348062,558.55778910191,562.694496831743,571.228936118365,579.399465767357,590.960164181388,603.786259510278,618.595000139729,623.905961281867,624.642548263211,640.296792522495,634.161404278894,638.98605104961,638.336108043472,638.34717294931,635.643018230608,640.815449362795,1169.42196581424,1157.4692704997,1089.63089652661,1022.35035322836,965.565866342443,943.222893147997,916.069311078343,910.492877373216,866.177625019349,841.202385514438,823.722394655573,831.633016816333,834.952042072044,836.678955336001,832.268736787042,831.082813310117,821.263958272511,806.854173878176,811.945369823108,775.925067378887,821.435556222157,793.326365762099,791.165370911904,773.887264557276,702.57829756284,"","","","","","","","","","
Finland,FIN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2196.95306655132,2252.77869000371,2361.74387607724,2478.91200888553,2678.38316577418,2887.69410649004,3065.43867550022,3126.42604539028,3342.70325814352,3668.52329855303,3872.22301943835,3939.2110879933,4188.16067653277,4507.55698411579,4383.8481175225,4181.81065661454,4459.85960914699,4516.24806759034,4664.52317587608,4963.53550808132,5146.64229888472,4934.58846774684,4805.4938819329,4823.85883071065,4910.52301782763,5269.89237090404,5482.57842271714,5960.6925861338,5590.43651436243,5753.63928280139,5691.57118588425,5742.78422893888,5380.99306781923,5617.21537795619,5972.55427268616,5661.9038762361,6070.21209376859,6276.95169202902,6319.32660107756,6283.95825823535,6262.19207918382,6410.62523419393,6728.58140544607,7077.0266490748,7134.85420908111,6562.02231144836,7111.856821567,6974.89676140919,6669.1733483595,6268.30054519017,6828.78375314542,6537.63729819133,6275.77096367897,6116.22729442255,6213.35776612777,5924.70012488295,"","","","","","","","","
Fiji,FJI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",369.58526656632,"","","","","","","","","","","","","",761.694759402813,655.047320935788,627.8324058111,583.628117509735,"","","","","","","","","","","","","","","","","
France,FRA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1670.89203703865,1720.95916956676,1842.40311475734,1971.49694460037,2077.94740288411,2107.32768986557,2123.70243488599,2250.42705161867,2362.7697308981,2537.93585976595,2948.67188406275,3020.42546914638,3160.61815679046,3373.815718004,3243.98914676808,3054.68927724985,3247.0066270184,3171.7217414739,3366.74334047758,3491.90793550896,3469.43609334875,3368.64794826312,3275.09796343954,3342.48782667386,3445.72449343628,3596.95176011401,3634.20824375981,3704.59940159781,3667.40933473148,3795.71267738664,3844.95511337839,4043.4490297048,3954.31449342922,4002.15029351932,3836.26295099915,3981.39296401586,4191.82533922464,4049.01542097422,4151.323982296,4123.16722958483,4135.05940322621,4245.52425587243,4224.99799473055,4270.60853394759,4301.55248516336,4287.05542663288,4188.77965856711,4115.48461663789,4110.57722987249,3913.49416926625,4016.92800461648,3847.18753955222,3836.78222520849,3833.57799756514,3659.08779468449,3692.01783331053,"","","","","","","","","
Faroe Islands,FRO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
"Micronesia, Fed. Sts.",FSM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Gabon,GAB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1759.62278169732,1685.77525122391,2274.70563647978,2429.34671008243,1961.11882113631,1838.1781744556,1957.08114308111,2167.2208591976,1870.74824335904,1836.12533054334,2006.66592918914,2010.99728108696,2013.06527086763,1822.12738796954,1587.3231348179,1542.96501098552,1423.95019652582,1464.39926102554,1326.5412093136,1200.93948160783,1206.89382262682,1255.86490494809,1293.85177301307,1117.23180356621,1194.07182787236,1212.28543031124,1196.67964236833,1241.11275063215,1177.67188837473,1152.91727946364,1205.46751690798,1416.72768904236,1620.70893767859,1828.9670366465,2052.40605536746,2239.94306312184,2418.09184590779,2573.15227028793,2722.8417218559,2954.89508273547,2296.50754635982,1963.54951488693,2767.66006693991,2565.38140183047,"","","","","","","","","","
United Kingdom,GBR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3033.05064885496,3006.74738636364,3087.34197183099,3196.83118359739,3212.53455555556,3329.41016283013,3306.78161340201,3345.55349485654,3406.14449473572,3557.12927532049,3684.95235186591,3733.28299838792,3747.96247517097,3880.65017434883,3734.84165224761,3545.81713377133,3616.9755344627,3695.38387114294,3675.43527262835,3858.97596475941,3523.64884206148,3415.37757002103,3397.12228871864,3377.9049126009,3370.52494279189,3550.78379115728,3597.94469423442,3619.07726921828,3643.00688126669,3626.29786078599,3597.05162065698,3707.95197072796,3684.72453526809,3713.18581904964,3732.52111417558,3728.96315226228,3879.82278596351,3760.71236505254,3787.10845175352,3784.07408782037,3785.75312644999,3784.92817441666,3685.86948742657,3731.60971819526,3694.47859531017,3686.35990480058,3598.81040619707,3441.64021918037,3361.98051693016,3145.58566208284,3230.61598357655,2972.15306452967,3042.85987103811,2987.7005887871,2777.31098667728,2764.51667133806,"","","","","","","","","
Georgia,GEO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2585.26322365681,2079.0525031535,1776.76782599774,1548.32338987192,968.724436919519,799.841424627747,834.024051923337,755.825921116123,716.23291223716,669.329201056867,703.721808300984,640.301237578073,639.419230542049,684.582168444451,707.986576155871,727.880733966112,781.24765645959,865.592807341047,780.719453473334,811.531979051069,824.543038190295,943.543902326697,993.739933288172,1048.34105681303,1180.27275264329,"","","","","","","","","","
Ghana,GHA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",326.541062898801,335.821805607369,346.364246783996,353.301622325152,355.503254808385,345.688161856544,356.272265315453,344.783236801515,337.099943046868,336.933678394781,342.745294792778,342.27585826719,281.779371589942,293.487198395882,318.580487890218,324.069507835073,343.259005390679,327.916216424506,344.842839049171,343.693015910464,346.799517795602,350.368600769052,358.162765297776,363.832158647082,371.933885690209,375.897864260897,383.594940017955,395.703004852944,401.058879582643,319.617975924841,313.215668573356,302.878213288304,278.947564893255,271.497077641799,262.153600459842,272.122785147779,265.220201487344,258.590266551521,273.159143364524,290.753109078137,302.988171567001,320.074220846443,326.902611107721,322.157921704303,"","","","","","","","","","
Gibraltar,GIB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1092.74611398964,897.105166727739,1030.75861568072,1021.47360835885,1118.06375442739,969.858534157958,930.388692579505,889.826337622161,1200.45494313211,1132.31037489102,932.463465553236,1101.51225447593,1160.58190930289,1128.7574625563,1273.4638047138,1535.90087545891,1764.48604783599,2069.03983620101,2012.81585826314,2115.33088235294,2813.59208863113,3414.27933626014,3425.37864794976,3924.77697419142,3830.66077364211,3887.1102703096,4020.26684069321,4227.8842676311,4401.92113245703,4613.98823486954,4732.50894890986,4773.77744242032,4802.61017188937,5086.67943583493,5176.55933888832,5304.41981482733,5227.45450909818,5251.73445566041,5579.24277325374,5535.90629800307,5304.10612760581,5366.1681601049,5672.84845866634,5974.0042056502,"","","","","","","","","","
Guinea,GIN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
"Gambia, The",GMB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",58.5870250764201,"","","","","","","","","","","","","",66.6127185884025,64.7856046386493,66.4616460917346,75.3210773292618,"","","","","","","","","","","","","","","","","
Guinea-Bissau,GNB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",76.6529652274027,"","","","","","","","","","","","","",63.7243315058282,62.9711526978072,63.5906233506182,65.4727199297581,"","","","","","","","","","","","","","","","","
Equatorial Guinea,GNQ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",846.74475534966,1318.39086647519,1517.65600403093,1697.8043403562,"","","","","","","","","","","","","","","","","
Greece,GRC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,289.057068014127,322.490578169932,350.101257860667,367.811430340375,433.559342308126,478.755856643244,547.197001596652,607.702155943146,652.081596976924,725.525615416076,872.783727970343,984.042076150522,1134.78649348358,1322.76394246847,1256.34873469402,1298.2043634136,1386.10046636156,1469.54942907429,1525.44353586267,1597.92592533633,1553.78161587679,1505.27938659828,1537.27769706215,1599.0702196803,1652.72998113038,1766.76615362934,1673.81804723146,1791.83338591354,1902.91445148408,2093.11434523303,2102.67768529553,2094.6215026521,2129.89451643759,2090.7623645907,2138.25195316773,2147.13647870846,2206.10389487972,2282.13703465979,2389.79315254528,2390.08286610533,2506.6399477022,2578.11210543197,2597.7482892623,2666.45363728453,2711.46678988431,2753.05120068472,2742.62996079439,2734.75583458456,2745.49345851777,2649.66120066261,2482.11011603727,2407.76273606811,2403.23047211089,2128.01066937973,2123.89789112844,2182.07109345882,"","","","","","","","","
Grenada,GRD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",424.926688476045,"","","","","","","","","","","","","",676.893242958938,719.922722219184,735.461025105552,732.885760301117,"","","","","","","","","","","","","","","","","
Greenland,GRL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Guatemala,GTM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",493.740650427789,496.220283087678,505.112377652153,506.05656359421,543.696403056359,569.085450252012,590.347441191655,589.867857119997,610.27079146413,549.600070258711,521.308013061136,500.574911801969,472.02344803159,484.94865858648,480.271011872694,448.476102422332,460.987635124996,466.263694314846,470.650031348477,488.77938536515,489.154910864113,502.402579386041,487.557006761208,500.283759460391,515.891114473427,516.701900670911,527.006229833537,558.631025989876,598.392623981602,601.895501227945,600.554646665478,591.698235841434,601.394141806994,605.751658298849,595.972654787204,592.620257896433,623.470777993619,585.375252580269,658.661523588399,703.05636259913,736.877241310681,733.770180309718,782.786326184966,842.895727351423,"","","","","","","","","","
Guam,GUM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Guyana,GUY,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",509.519852139102,"","","","","","","","","","","","","",628.2642854707,650.533437418683,658.791039387799,660.623284856797,"","","","","","","","","","","","","","","","","
High income,HIC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2758.46261556153,2796.92524836065,2916.13656250469,3068.21368939137,3174.82129970893,3260.33912184359,3386.66850466179,3529.19303392013,3716.02991062376,3925.313057553,4252.70665891833,3920.69004952969,4073.41018218106,4259.64817615668,4166.465709691,4045.97245588765,4273.27386574482,4345.16315565804,4452.11527997138,4529.71282125047,4394.74580148496,4259.15495827762,4135.1879564866,4128.3734824246,4256.58274966346,4320.09447915962,4343.14893978404,4461.13749599255,4579.78557037652,4627.25022691612,4720.10075188802,4721.81488706806,4669.34871579922,4666.34697414574,4633.85896417596,4681.32260391257,4774.98433115179,4759.23019875773,4742.04881452237,4807.86132858524,4887.88939442798,4877.34621484016,4889.29128709055,4939.66213681998,5004.4800834901,5000.05195860176,5005.04057637274,5005.5870607877,4956.82109040131,4713.24588141788,4886.64559281812,4807.60375656143,4781.9429511185,4755.12249611881,4709.63444304507,4605.07582317822,"","","","","","","","","
"Hong Kong SAR, China",HKG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",741.963266012409,760.612814045979,747.579215390419,797.469048380465,813.399228976152,894.146082337317,997.775596134128,1078.83856454205,918.819400774895,914.219549287986,995.038198865609,1082.68534523696,1153.82836616714,1156.80375701662,1206.01224295297,1372.27582087391,1470.08941851089,1650.13842490582,1661.16387042313,1510.63388552897,1554.12273991655,1831.05473666063,1784.39349262837,1761.47811246976,1719.89782492162,1621.48721933028,1546.68161434978,2002.52380151902,2431.8825399228,2039.05416354089,2109.68038365876,1949.17275841106,2009.21836928745,1872.470258716,1844.49040098632,1932.9096848522,2058.5975160129,2006.29854264279,2107.36633776962,1946.64616611144,2087.21166355563,1994.71559838324,1943.8454359303,1970.48412753302,"","","","","","","","","","
Honduras,HND,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",490.062851546735,486.153965142447,489.879490306858,483.334602217666,482.247151320573,486.253121531105,498.779664308381,496.037185387494,497.27176989312,501.855427692785,484.078205455911,508.505509850639,484.020299281002,480.643594414086,462.881493067169,461.565434504132,473.008427082901,481.796648325703,487.82321919899,477.779486668776,468.482912655315,474.911651124714,471.798731719676,476.078650110535,492.015087365281,480.250523632129,510.128051698984,533.385805376625,456.787423034865,454.707999196689,477.30576222852,483.66900091211,512.439787937234,538.730679871774,549.582762519297,521.574588550461,598.574334654193,580.511887109619,544.189983295276,545.556126924155,592.492690487289,588.008985808041,584.917695227891,590.835144887159,"","","","","","","","","","
Heavily indebted poor countries (HIPC),HPC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",386.914959382032,385.728139679749,392.193206777094,389.795058471615,395.406894892363,398.578135640173,402.775599471255,399.086223524601,400.972232271693,402.751471427982,407.228665263935,414.642696146517,425.493614487004,430.147415870849,"","","","","","","","","","","
Croatia,HRV,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1981.18922385715,1742.37228999992,1634.5650111084,1680.34891270726,1629.12272163686,1692.15892537494,1770.79750551722,1881.92735483757,1945.43741525793,1930.36936380537,1876.80577543774,2024.54692739535,2081.5982803113,2232.49343135508,2230.90321981136,2261.48377838797,2248.38007598421,2338.44769300478,2280.0706776914,2207.10302307847,2185.44698815741,2140.43613287975,2024.162701438,1994.06720293855,1914.45897489479,"","","","","","","","","","
Haiti,HTI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",318.504824226739,321.949002340737,323.933411633746,331.009301458916,336.215941445192,349.605846616537,353.207373710155,361.213346216067,368.316995273795,370.99877050341,302.946070959035,308.019603364464,310.834004358189,307.677744952819,303.9712401924,231.79998739733,234.243628864802,237.454783985455,237.084886510701,227.658535539222,222.771658721026,226.762264398406,214.863988680688,193.597619117895,223.892588554172,252.167320981214,260.745008656407,256.117892419568,254.778749293364,242.112783448115,242.901480359672,268.270249653767,253.193867700954,256.753700760572,375.899280377051,380.526816832567,392.048005312112,390.531765835597,389.692805086205,387.275236262424,396.362587070939,404.403933316855,400.896387742872,400.345408158593,"","","","","","","","","","
Hungary,HUN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","",1426.89965988154,1447.93795406917,1476.04957576901,1506.99949248305,1607.81593989857,1730.16286657555,1836.34975211567,1880.53879751183,2039.36702787706,2101.98707475722,2173.24696824874,2311.17336626071,2428.82933004233,2674.05933388502,2638.20496943616,2646.30418736711,2630.04292069865,2630.75848147711,2594.3947792326,2697.39414581516,2794.25194387341,2787.68417178994,2894.82745315277,2863.97624042761,2874.89580668972,2774.4920275597,2642.9225711917,2423.17944795142,2481.44841194174,2406.68835208692,2503.0778011156,2572.97436059569,2527.30162598734,2502.20404672641,2490.71260352839,2448.14033846536,2512.67485022934,2520.1524657709,2580.20749584977,2579.29172092696,2731.03970282733,2713.25708419014,2658.03637311079,2636.64677330211,2478.10169965029,2568.94899141732,2500.32135857711,2365.55369652841,2271.94720512779,2314.49643377954,2432.75179142028,"","","","","","","","","
IBRD only,IBD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",509.916284670268,520.139159368259,535.627348848239,544.813132312231,569.467539878879,584.058876836857,609.688745205526,636.278813088057,647.091563057453,649.587240528316,644.171117900875,655.743446606906,656.250147954741,671.996301024689,681.29822378915,692.828162568368,708.280942727344,720.896718198634,723.93803431812,1072.84809587482,1051.66390441304,1017.53107690788,1006.21680323624,979.853243176495,997.327125670574,1001.04390776853,995.936426352342,980.617109776951,988.753135998068,998.402762940123,1010.34438047143,1033.05520119421,1089.99388570721,1156.90471466643,1208.21310589546,1264.07462623273,1311.99684402247,1340.91014157368,1359.88811167271,1444.34968739091,1493.63025571695,1528.62201311425,1543.89431716313,1566.78034618643,"","","","","","","","","","
IDA & IBRD total,IBT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",486.656674982935,495.101682125636,508.587755797764,516.269252845062,536.741884640433,549.157516855852,570.72817277974,592.761566542061,601.91163818179,603.8351089843,599.104617794941,609.012136025725,609.123759848999,621.762281144057,629.470768407734,638.688947757716,651.953538962874,662.264545574765,664.718009875797,965.512289320946,948.545659281533,918.127581486467,907.247950500537,883.183020989803,894.610036187614,897.690861269025,892.926637349017,880.523032231211,887.15062514674,891.496986809238,900.526249512661,918.29282302842,963.396739168235,1014.89091758564,1055.02182602916,1098.33823717677,1135.15792169508,1158.05148553059,1169.36231290816,1235.29455513534,1273.63332221787,1297.86659859945,1307.50123364475,1327.45560285444,"","","","","","","","","","
IDA total,IDA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",362.36086040358,361.585979329391,365.097856736869,365.658222840686,365.156523069014,367.473939805095,369.451484269433,369.810753225096,372.504086098701,373.750318787734,374.82468118618,378.761925357944,378.851252999025,378.178366579234,379.980099728731,380.107730028719,384.919145118422,386.396102837608,388.254233810782,455.091985973436,457.585677517935,450.95063024879,447.102956578473,439.39911637127,434.575373116071,439.891746481522,441.45120316271,446.662591548581,451.744039646119,445.314615593841,447.687807720258,450.560191371212,453.318713311963,456.264647764611,459.244733924349,461.470239361087,464.538230345144,465.054198624341,455.933918910113,461.865064816101,469.010855417926,469.568662881915,466.068379182812,444.405186028954,"","","","","","","","","","
IDA blend,IDB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",444.601519065075,446.564823671176,453.719017752651,457.588879428759,461.024146828148,465.479067869834,471.235339735348,474.938240799307,479.943193641532,484.336501163219,489.381811721081,495.341442031145,497.387397605471,491.241950920529,496.667737405047,495.304460740875,507.689752642742,508.987722153776,513.98318777236,644.08713699143,651.743099334215,645.601124918365,646.243360953891,628.841104814364,616.469112715578,624.099827617654,622.810919340531,628.93782512342,636.725569321408,633.661802428687,633.238130866895,632.460748090086,634.361868663982,635.657444404704,629.930961505965,628.328214694147,628.613661965207,623.358677814853,598.219602618452,604.455379991366,616.903267044882,623.524584657377,608.450009649844,546.925915645819,"","","","","","","","","","
Indonesia,IDN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",294.920425856968,298.937221656983,304.513147114881,307.684431987869,311.951081706899,318.061696267664,344.826239589155,360.163549155999,367.922577613008,373.977012772159,384.452061148164,384.982592229808,383.200061388758,389.427646452223,394.693996627876,426.696167267514,432.183737306018,435.569153758757,451.72115257781,537.588516227843,554.026438561863,567.599599595344,612.921486920619,603.472378312694,654.618364718008,667.291666416508,678.591013352896,653.342837235825,674.187717801565,720.369553020697,727.132877794512,743.975400436659,736.276643692843,774.982863017479,778.643103213409,786.463974188992,772.487879422196,777.617865858864,829.998798454213,861.154360278094,819.014453808223,838.871821669715,850.157168896871,871.119668503777,"","","","","","","","","","
